PGA,Vancouver,Guatemala City,Panama City,San Salvador,Beijing,Athens,Bucharest,Istanbul,Lisbon,Kathmandu,Mexico City,Beirut,Wellington,Christchurch,Los Angeles
0.005,0.1766164,0.9777063,0.282576,0.8504754,0.4383271,0.6916175,0.7116798,0.6721879,0.2574756,0.4896708,0.4405259,0.4497448,0.9999871,0.9984558,0.4162899
0.0065272,0.1499467,0.9552788,0.2219844,0.7757423,0.3595134,0.602248,0.6238373,0.59834,0.2106692,0.4306574,0.3809866,0.368971,0.9999123,0.9945746,0.3577273
0.0085208,0.1248625,0.918642,0.1734052,0.6884519,0.2880151,0.5105904,0.5295911,0.5220792,0.1691708,0.368838,0.3216577,0.2944908,0.9995081,0.9834076,0.3013759
0.0111234,0.1017954,0.8645594,0.1351176,0.5943184,0.225438,0.4216327,0.4355048,0.4462556,0.1332795,0.3070884,0.2642001,0.2285878,0.9977292,0.9565961,0.2490631
0.014521,0.08115974,0.7920721,0.1052523,0.4995969,0.1723935,0.3393587,0.3475042,0.3735473,0.1029903,0.248418,0.2103889,0.1725527,0.9913722,0.9034616,0.2020914
0.0189562,0.06326223,0.7034211,0.08204584,0.4097377,0.1287354,0.2663963,0.2697351,0.3061882,0.07803288,0.1953174,0.1619989,0.1267208,0.9729695,0.8164492,0.1611313
0.0247462,0.04822602,0.6038916,0.06396441,0.328554,0.09380335,0.2040343,0.2042234,0.2457867,0.05794074,0.1493304,0.120543,0.09060895,0.9298983,0.697315,0.1262596
0.0323046,0.03596728,0.5005544,0.04975961,0.2580317,0.06662423,0.1524628,0.1511778,0.1932593,0.04212889,0.1110486,0.08685619,0.0631398,0.8484238,0.5582956,0.09712203
0.0421716,0.0262308,0.4005057,0.03847449,0.1986326,0.04606441,0.1110928,0.1095826,0.1488752,0.02996456,0.08034985,0.06083484,0.04291177,0.7235724,0.4170455,0.07315771
0.0550525,0.01866553,0.3094024,0.02941264,0.1498186,0.03094771,0.07885871,0.0777974,0.112374,0.02082072,0.05662686,0.04157067,0.02844948,0.5675433,0.2899344,0.05378818
0.0718676,0.01290484,0.2307722,0.02208833,0.1105542,0.02014881,0.05445999,0.05401734,0.08311537,0.01411162,0.03894822,0.02776174,0.01838562,0.4064519,0.1876266,0.03849515
0.0938187,0.008618767,0.1660678,0.01617284,0.07964791,0.01266167,0.03653272,0.03655989,0.06022197,0.009313411,0.02621439,0.0181043,0.01155926,0.2662587,0.113423,0.02678622
0.1224745,0.005526374,0.1151329,0.01144873,0.05591051,0.007637367,0.02376346,0.02399662,0.04270637,0.005974248,0.01732206,0.0114976,0.007045645,0.1607183,0.06433256,0.01812973
0.1598829,0.003383026,0.07674679,0.007768172,0.03819005,0.004391171,0.014961,0.01517449,0.02957846,0.003717318,0.0112832,0.007083736,0.004142675,0.09008264,0.03425959,0.01194461
0.2087172,0.001967634,0.04908251,0.005010934,0.0253698,0.002387841,0.00909856,0.009176524,0.01993039,0.00223879,0.007274224,0.004215131,0.002335722,0.0471241,0.01704392,0.007656399
0.2724674,0.001082475,0.03005625,0.003051168,0.01638751,0.001218715,0.005332984,0.005266795,0.01298825,0.001302076,0.004646176,0.002410616,0.0012557,0.02312228,0.007850708,0.004763553
0.3556893,0.000560726,0.0175948,0.001743095,0.01028394,0.000580448,0.003004695,0.002848347,0.008123985,0.000729532,0.002924264,0.001318407,0.000641199,0.01074879,0.003314379,0.002866193
0.4643304,0.000272182,0.009834589,0.000929021,0.00625412,0.000257706,0.00162211,0.001442243,0.004835449,0.000392775,0.001791966,0.000686515,0.000310544,0.004788207,0.001270131,0.001659618
0.6061547,0.000123173,0.005244991,0.00045938,0.003668597,0.000107486,0.000835963,0.000680082,0.002715117,0.000202679,0.001053061,0.000339281,0.000142694,0.002030935,0.000438007,0.000917777
0.7912974,5.17E-05,0.002669036,0.000209488,0.002063066,4.30E-05,0.000409539,0.000297421,0.001426758,1.00E-04,0.000585391,0.000158975,6.22E-05,0.00078859,0.00013486,0.000479021
1.0329898,2.00E-05,0.001297373,8.76E-05,0.001105231,1.69E-05,0.000189873,0.000120305,0.000696832,4.70E-05,0.000305168,7.07E-05,2.57E-05,0.000263894,3.68E-05,0.000232289
1.3485043,7.04E-06,0.000603819,3.34E-05,0.000561414,6.76E-06,8.29E-05,4.50E-05,0.000314531,2.10E-05,0.000148905,3.00E-05,1.00E-05,7.19E-05,8.82E-06,0.000102867
1.760389,2.25E-06,0.000270052,1.15E-05,0.000269713,2.73E-06,3.40E-05,1.55E-05,0.000130619,8.90E-06,6.83E-05,1.22E-05,3.67E-06,1.54E-05,1.84E-06,4.09E-05
2.298079,6.45E-07,0.000116345,3.60E-06,0.000122636,1.10E-06,1.30E-05,4.98E-06,4.97E-05,3.56E-06,2.97E-05,4.82E-06,1.25E-06,2.51E-06,3.27E-07,1.44E-05
3,1.64E-07,4.82E-05,1.03E-06,5.28E-05,4.32E-07,4.63E-06,1.49E-06,1.73E-05,1.34E-06,1.23E-05,1.84E-06,3.98E-07,3.08E-07,4.57E-08,4.47E-06